"id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","host_listing_count","availability_365"
3063513,5612581,"Joe","Brooklyn","Bushwick",40.70655918439605,-73.91999383689446,"Entire home/apt",80,4,0,"",,1,197
4470301,10527578,"Mark","Manhattan","West Village",40.73317465226927,-74.00314600497494,"Private room",130,3,0,"",,2,365
4777282,3634517,"Lucie","Brooklyn","Bushwick",40.70143292649945,-73.92797967880836,"Private room",70,1,0,"",,1,365
61410,206982,"Julie","Manhattan","Hell's Kitchen",40.75610479306892,-73.994210837242,"Private room",125,1,190,"2014-12-15",3.8,1,261
4510263,21150740,"Ashlea","Manhattan","Harlem",40.8136803991149,-73.95147990797877,"Private room",90,1,0,"",,1,185
283815,1478146,"Anne","Manhattan","Harlem",40.80211457662787,-73.95601679970943,"Entire home/apt",200,5,2,"2014-06-30",0.1,1,6
4764396,24580737,"Rv","Manhattan","Kips Bay",40.734492294041594,-73.97976229713326,"Private room",80,3,0,"",,1,1
4936875,22547910,"Nancy & Patrick","Brooklyn","Crown Heights",40.67794065277308,-73.94344902705681,"Private room",80,4,0,"",,3,365
3312443,16727267,"David","Manhattan","East Harlem",40.79997499604907,-73.94239329812775,"Entire home/apt",400,2,0,"",,1,364
1145134,585273,"Summer","Brooklyn","Greenpoint",40.72448225892307,-73.94328253422525,"Private room",99,2,20,"2014-12-10",1.5,1,364
